,Z,Z_norm,Z_NH3,phi,yp,yp_src,dyp_dx,H_ele,strain,T,P,K,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
48,0.078250816,0.090225205,0.069630475,0.6,0.092221664,15.58871317,338.8004991,0.014262385,5140.245381,1523.766277,101325,10.6504344,0.001686625,0.011075533,0.008294293,0.004444772,0.127980371,6.11E-05,0.000605243,0.000894116,8.02E-05,0.092221664,2.20E-06,6.55E-06,0.000300069,2.07E-05,3.64E-07,0.001252849,7.07E-05,2.22E-06,0.751000476
49,0.078776859,0.090225205,0.070376572,0.6,0.095530262,16.48004317,319.5218352,0.014333102,4830.680216,1549.397824,101325,10.6504344,0.001602095,0.009809492,0.008898629,0.004475224,0.124206304,6.57E-05,0.00067079,0.001045587,7.54E-05,0.095530262,2.04E-06,6.19E-06,0.000293891,2.18E-05,3.88E-07,0.001224953,7.19E-05,2.22E-06,0.751997047
50,0.079859738,0.090225205,0.071920688,0.6,0.101770923,17.74872785,295.5828012,0.014477933,4459.750145,1597.386889,101325,10.6504344,0.001436369,0.007526415,0.010104323,0.004446997,0.116949071,7.49E-05,0.000811192,0.0014003,6.56E-05,0.101770923,1.87E-06,5.52E-06,0.000273881,2.33E-05,4.21E-07,0.001132396,7.20E-05,2.11E-06,0.75390237
51,0.080402722,0.090225205,0.072696888,0.6,0.104657474,18.06336659,278.0713649,0.01455038,4191.024105,1619.454662,101325,10.6504344,0.001356333,0.006521036,0.010688243,0.004391586,0.113526981,7.92E-05,0.000884534,0.001601255,6.08E-05,0.104657474,1.83E-06,5.21E-06,0.000260903,2.36E-05,4.28E-07,0.001071541,7.08E-05,2.02E-06,0.754796159
52,0.080941857,0.090225205,0.073467854,0.6,0.107373015,18.15255795,259.6961655,0.014622289,3911.76644,1640.139077,101325,10.6504344,0.001278569,0.005610148,0.011253662,0.004309181,0.110263965,8.34E-05,0.00095948,0.001816737,5.61E-05,0.107373015,1.83E-06,4.92E-06,0.000246222,2.36E-05,4.29E-07,0.001002629,6.87E-05,1.91E-06,0.755645474
53,0.081472626,0.090225205,0.0742266,0.6,0.10990911,18.01168844,240.8148989,0.014693105,3627.264951,1659.395694,101325,10.6504344,0.001203454,0.004793268,0.011795409,0.004202081,0.107174811,8.74E-05,0.001035431,0.002044594,5.15E-05,0.10990911,1.85E-06,4.66E-06,0.00023022,2.32E-05,4.23E-07,0.000927742,6.59E-05,1.77E-06,0.756447156
54,0.081990766,0.090225205,0.074966642,0.6,0.112260818,17.64777096,221.7815816,0.014762296,3342.713484,1677.206782,101325,10.6504344,0.001131338,0.004068053,0.012308947,0.004073116,0.104270969,9.10E-05,0.00111174,0.002282155,4.72E-05,0.112260818,1.90E-06,4.42E-06,0.000213289,2.25E-05,4.10E-07,0.00084906,6.24E-05,1.63E-06,0.757199028
55,0.082492383,0.090225205,0.075682135,0.6,0.114426654,17.07855895,202.9299202,0.014829365,3062.975395,1693.580591,101325,10.6504344,0.001062532,0.003430536,0.012790525,0.003925509,0.101560414,9.43E-05,0.001187722,0.002526316,4.32E-05,0.114426654,1.96E-06,4.21E-06,0.000195822,2.15E-05,3.92E-07,0.000768735,5.83E-05,1.47E-06,0.757899868
56,0.082974045,0.090225205,0.076367985,0.6,0.116408391,16.33079104,184.5591566,0.014893873,2792.376532,1708.549442,101325,10.6504344,0.000997293,0.002875436,0.013237291,0.003762721,0.099047648,9.73E-05,0.001262664,0.00277369,3.94E-05,0.116408391,2.03E-06,4.03E-06,0.000178194,2.03E-05,3.69E-07,0.000688778,5.38E-05,1.31E-06,0.758549339
57,0.083432861,0.090225205,0.077019934,0.6,0.118210727,15.43773229,166.923426,0.014955444,2534.545322,1722.166806,101325,10.6504344,0.000935819,0.002396494,0.013647361,0.003588304,0.096733822,9.98E-05,0.001335839,0.003020767,3.60E-05,0.118210727,2.11E-06,3.88E-06,0.000160752,1.88E-05,3.42E-07,0.000610965,4.91E-05,1.16E-06,0.759147901
58,0.083866527,0.090225205,0.077634618,0.6,0.119840838,14.43632069,150.2252325,0.015013778,2292.31161,1734.503613,101325,10.6504344,0.00087824,0.001986823,0.014019823,0.003405755,0.09461698,0.000101908,0.001406524,0.003264096,3.29E-05,0.119840838,2.19E-06,3.75E-06,0.0001438,1.73E-05,3.14E-07,0.000536769,4.43E-05,1.02E-06,0.759696692
59,0.084273357,0.090225205,0.078209583,0.6,0.121307882,13.36428216,134.6131229,0.015068654,2067.668207,1745.644091,101325,10.6504344,0.000824621,0.001639235,0.014354695,0.003218396,0.092692393,0.000103613,0.001474027,0.003500449,3.02E-05,0.121307882,2.27E-06,3.64E-06,0.000127598,1.56E-05,2.84E-07,0.000467321,3.95E-05,8.79E-07,0.760197413
60,0.08465227,0.090225205,0.078743269,0.6,0.122622463,12.2575493,120.1831849,0.015119929,1861.792071,1755.681468,101325,10.6504344,0.000774961,0.001346526,0.014652834,0.003029279,0.090952965,0.000104912,0.001537701,0.003726958,2.77E-05,0.122622463,2.35E-06,3.56E-06,0.00011235,1.39E-05,2.54E-07,0.000403409,3.49E-05,7.54E-07,0.760652198
61,0.085002766,0.090225205,0.079234963,0.6,0.123796127,11.14822889,106.9836236,0.015167536,1675.115017,1764.713828,101325,10.6504344,0.0007292,0.001101713,0.014915807,0.002841116,0.089389684,0.000105818,0.001596978,0.003941225,2.56E-05,0.123796127,2.43E-06,3.49E-06,9.82E-05,1.23E-05,2.24E-07,0.00034549,3.05E-05,6.42E-07,0.761063498
62,0.085324872,0.090225205,0.079684722,0.6,0.124840889,10.06324141,95.02148978,0.015211477,1507.429826,1772.840372,101325,10.6504344,0.000687223,0.000898213,0.01514574,0.002656242,0.087992088,0.000106356,0.00165138,0.004141372,2.37E-05,0.124840889,2.51E-06,3.45E-06,8.53E-05,1.07E-05,1.97E-07,0.000293737,2.65E-05,5.42E-07,0.761433978
63,0.085619073,0.090225205,0.080093268,0.6,0.125768833,9.023634847,84.27060771,0.015251813,1358.015673,1780.158266,101325,10.6504344,0.000648873,0.000729967,0.015345155,0.002476594,0.086748725,0.000106551,0.001700536,0.00432606,2.20E-05,0.125768833,2.57E-06,3.42E-06,7.36E-05,9.24E-06,1.71E-07,0.000248083,2.27E-05,4.56E-07,0.761766415
64,0.085886234,0.090225205,0.080461874,0.6,0.126591788,8.044477754,69.90810657,0.015288658,1160.084484,1786.760149,101325,10.6504344,0.000613959,0.000591501,0.015516813,0.002303725,0.085647585,0.000106437,0.00174419,0.004494459,2.06E-05,0.126591788,2.63E-06,3.40E-06,6.32E-05,7.91E-06,1.47E-07,0.000208282,1.94E-05,3.81E-07,0.762063623
65,0.08634317,0.090225205,0.081084752,0.6,0.127957181,6.336018368,55.28042361,0.015352358,962.0347125,1798.079672,101325,10.6504344,0.000553775,0.000389245,0.015785548,0.001981789,0.083834751,0.000105379,0.001814576,0.004781318,1.83E-05,0.127957181,2.73E-06,3.39E-06,4.60E-05,5.66E-06,1.08E-07,0.000145123,1.39E-05,2.64E-07,0.762560906
